food_class,drug_category,has_interaction,severity,interaction_type,mechanism,matched_ingredients,source
donat,antikonvulsan,1,3,pharmacokinetic,"Kalsium dan protein dalam susu membentuk kompleks dengan antikonvulsan, mengubah laju absorpsi dan kadar plasma obat",susu,LLM-assisted curation (Claude) + pharmacology literature
donat,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,antidiabetes,1,5,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula merah, gula aren, kental manis) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula merah|gula aren|kental manis,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,statin,1,3,pharmacokinetic,"Inhibisi CYP3A4 oleh jeruk dan/atau lemak tinggi dari santan (santan) meningkatkan bioavailabilitas statin, meningkatkan risiko miopati dan rhabdomyolysis",santan,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,antibiotik_tetrasiklin,1,4,pharmacokinetic,"Kalsium dalam kental manis membentuk kompleks chelat dengan tetrasiklin yang tidak dapat diabsorpsi, mengurangi bioavailabilitas antibiotik 50-80%",kental manis,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,antibiotik_fluorokuinolon,1,4,pharmacokinetic,"Kation divalen (Ca2+, Mg2+) dalam kental manis membentuk chelat dengan fluorokuinolon, mengurangi absorpsi dan efektivitas antibiotik",kental manis,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,tiroid,1,3,pharmacokinetic,"Isoflavon kedelai dan/atau kalsium dalam kental manis mengganggu absorpsi levothyroxine di saluran cerna, mengurangi efektivitas terapi tiroid",kental manis,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,antikonvulsan,1,3,pharmacokinetic,"Kalsium dan protein dalam kental manis membentuk kompleks dengan antikonvulsan, mengubah laju absorpsi dan kadar plasma obat",kental manis,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,xantin,1,2,pharmacokinetic,"Kafein dalam santan berkompetisi dengan teofilin pada metabolisme CYP1A2, meningkatkan risiko toksisitas; lemak tinggi mengubah profil absorpsi",santan,LLM-assisted curation (Claude) + pharmacology literature
es-dawet,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula merah) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula merah,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,ace_arb,1,3,pharmacodynamic,Kalium tinggi dalam kentang meningkatkan risiko hiperkalemia saat dikombinasikan dengan ACE inhibitor/ARB yang sudah menurunkan ekskresi kalium,kentang,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,glikosida_jantung,1,3,pharmacodynamic,"Fluktuasi kadar kalium dari kentang mempengaruhi sensitivitas miokardium terhadap glikosida jantung, meningkatkan risiko aritmia dan toksisitas digitalis",kentang,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gado-gado,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
gudeg,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam jahe, bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",jahe|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
gudeg,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,statin,1,3,pharmacokinetic,"Inhibisi CYP3A4 oleh jeruk dan/atau lemak tinggi dari santan (santan) meningkatkan bioavailabilitas statin, meningkatkan risiko miopati dan rhabdomyolysis",santan,LLM-assisted curation (Claude) + pharmacology literature
gudeg,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gudeg,xantin,1,2,pharmacokinetic,"Kafein dalam santan berkompetisi dengan teofilin pada metabolisme CYP1A2, meningkatkan risiko toksisitas; lemak tinggi mengubah profil absorpsi",santan,LLM-assisted curation (Claude) + pharmacology literature
gudeg,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,antikoagulan,1,4,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kunyit, jahe, bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kunyit|jahe|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,antidiabetes,1,2,pharmacodynamic,"Kandungan gula tinggi (gula) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,ccb,0,1,pharmacokinetic,"Interaksi minimal/teoretis: jeruk dalam jumlah kecil, tidak signifikan secara klinis",jeruk,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,statin,0,1,pharmacokinetic,"Interaksi minimal/teoretis: jeruk dalam jumlah kecil, tidak signifikan secara klinis",jeruk,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,nsaid,0,1,pharmacodynamic,"Interaksi minimal/teoretis: jeruk dalam jumlah kecil, tidak signifikan secara klinis",jeruk,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
gulai-ikan-mas,imunosupresan,1,4,pharmacokinetic,"Senyawa dalam jeruk, kunyit, bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",jeruk|kunyit|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ikan-goreng,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
keladi,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
keladi,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula,LLM-assisted curation (Claude) + pharmacology literature
keladi,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
keladi,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,ace_arb,1,3,pharmacodynamic,Kalium tinggi dalam kentang meningkatkan risiko hiperkalemia saat dikombinasikan dengan ACE inhibitor/ARB yang sudah menurunkan ekskresi kalium,kentang,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,glikosida_jantung,1,3,pharmacodynamic,"Fluktuasi kadar kalium dari kentang mempengaruhi sensitivitas miokardium terhadap glikosida jantung, meningkatkan risiko aritmia dan toksisitas digitalis",kentang,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kentang-goreng,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam jahe mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",jahe,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kerak-telor,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kiwi,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, kental manis) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|kental manis,LLM-assisted curation (Claude) + pharmacology literature
klappertart,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,antibiotik_tetrasiklin,1,4,pharmacokinetic,"Kalsium dalam susu, kental manis membentuk kompleks chelat dengan tetrasiklin yang tidak dapat diabsorpsi, mengurangi bioavailabilitas antibiotik 50-80%",susu|kental manis,LLM-assisted curation (Claude) + pharmacology literature
klappertart,antibiotik_fluorokuinolon,1,4,pharmacokinetic,"Kation divalen (Ca2+, Mg2+) dalam susu, kental manis membentuk chelat dengan fluorokuinolon, mengurangi absorpsi dan efektivitas antibiotik",susu|kental manis,LLM-assisted curation (Claude) + pharmacology literature
klappertart,maoi,1,2,pharmacodynamic,"Tyramine dalam makanan fermentasi (cuka) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",cuka,LLM-assisted curation (Claude) + pharmacology literature
klappertart,tiroid,1,3,pharmacokinetic,"Isoflavon kedelai dan/atau kalsium dalam susu, kental manis mengganggu absorpsi levothyroxine di saluran cerna, mengurangi efektivitas terapi tiroid",susu|kental manis,LLM-assisted curation (Claude) + pharmacology literature
klappertart,nsaid,1,3,pharmacodynamic,Asam dalam cuka memperburuk iritasi dan erosi mukosa lambung yang sudah diinduksi oleh penghambatan COX oleh NSAID,cuka,LLM-assisted curation (Claude) + pharmacology literature
klappertart,antikonvulsan,1,3,pharmacokinetic,"Kalsium dan protein dalam susu, kental manis membentuk kompleks dengan antikonvulsan, mengubah laju absorpsi dan kadar plasma obat",susu|kental manis,LLM-assisted curation (Claude) + pharmacology literature
klappertart,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
klappertart,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula merah) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula merah,LLM-assisted curation (Claude) + pharmacology literature
kolak,ace_arb,1,4,pharmacodynamic,Kalium tinggi dalam pisang meningkatkan risiko hiperkalemia saat dikombinasikan dengan ACE inhibitor/ARB yang sudah menurunkan ekskresi kalium,pisang,LLM-assisted curation (Claude) + pharmacology literature
kolak,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,statin,1,3,pharmacokinetic,"Inhibisi CYP3A4 oleh jeruk dan/atau lemak tinggi dari santan (santan) meningkatkan bioavailabilitas statin, meningkatkan risiko miopati dan rhabdomyolysis",santan,LLM-assisted curation (Claude) + pharmacology literature
kolak,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kolak,glikosida_jantung,1,4,pharmacodynamic,"Fluktuasi kadar kalium dari pisang mempengaruhi sensitivitas miokardium terhadap glikosida jantung, meningkatkan risiko aritmia dan toksisitas digitalis",pisang,LLM-assisted curation (Claude) + pharmacology literature
kolak,xantin,1,2,pharmacokinetic,"Kafein dalam santan berkompetisi dengan teofilin pada metabolisme CYP1A2, meningkatkan risiko toksisitas; lemak tinggi mengubah profil absorpsi",santan,LLM-assisted curation (Claude) + pharmacology literature
kolak,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,statin,1,3,pharmacokinetic,"Inhibisi CYP3A4 oleh jeruk dan/atau lemak tinggi dari santan (santan) meningkatkan bioavailabilitas statin, meningkatkan risiko miopati dan rhabdomyolysis",santan,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,xantin,1,2,pharmacokinetic,"Kafein dalam santan berkompetisi dengan teofilin pada metabolisme CYP1A2, meningkatkan risiko toksisitas; lemak tinggi mengubah profil absorpsi",santan,LLM-assisted curation (Claude) + pharmacology literature
kue-lumpur,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kunyit mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kunyit,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,antidiabetes,1,5,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula merah, gula aren) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula merah|gula aren,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
kunyit-asam,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam kunyit menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",kunyit,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kunyit, bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kunyit|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,ccb,0,1,pharmacokinetic,"Interaksi minimal/teoretis: jeruk dalam jumlah kecil, tidak signifikan secara klinis",jeruk,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,statin,0,1,pharmacokinetic,"Interaksi minimal/teoretis: jeruk dalam jumlah kecil, tidak signifikan secara klinis",jeruk,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,nsaid,0,1,pharmacodynamic,"Interaksi minimal/teoretis: jeruk dalam jumlah kecil, tidak signifikan secara klinis",jeruk,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
laksa-bogor,imunosupresan,1,4,pharmacokinetic,"Senyawa dalam jeruk, kunyit, bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",jeruk|kunyit|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
lumpia-semarang,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
lumpia-semarang,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula merah) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula merah,LLM-assisted curation (Claude) + pharmacology literature
lumpia-semarang,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
lumpia-semarang,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
lumpia-semarang,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
